ind;time;area;height;width;diameter
0879palmer_sem8_num20;140;5649371.5;3513.0;2160.0;2681.977126576789
0881palmer_sem8_num21;140;4873160.0;3305.5;1992.0;2490.8537017119306
0883palmer_sem8_num22;140;5569721.5;3515.5;2158.5;2663.002902467396
0885palmer_sem8_num23;140;5313227.0;3321.5;2105.0;2600.9611090301623
0887palmer_sem8_num24;140;5436790.0;3399.5;2113.5;2631.032263507178
0889palmer_sem8_num25;140;5570957.5;3540.5;2134.0;2663.2579165801776
0891palmer_sem8_num26;140;5548449.0;3469.5;2119.5;2657.91354214811
0893palmer_sem8_num27;140;5333045.5;3436.5;2097.0;2605.790594161297
0895palmer_sem8_num28;140;5694114.0;3624.0;2135.5;2692.545312505353
0897palmer_sem8_num29;140;5040978.5;3344.5;2069.5;2533.450251126507
0899palmer_sem8_num30;140;5621906.5;3463.5;2139.5;2675.442957953432
0901palmer_sem8_num31;140;5149408.5;3466.5;2027.0;2560.4673409310744
0903palmer_sem8_num32;140;5986907.5;3702.5;2165.0;2760.934976163168
0905palmer_sem8_num33;140;5168882.5;3424.0;2053.0;2565.375797572372
0907palmer_sem8_num34;140;4928770.0;3299.0;1958.5;2505.0947292450865
0909palmer_sem8_num35;140;5845530.5;3592.0;2145.0;2728.1026480968803
0911palmer_sem8_num36;140;5193445.5;3353.5;2046.0;2571.470139108204
0913palmer_sem8_num37;140;5514675.0;3465.5;2100.5;2649.806999321947
0915palmer_sem8_num38;140;5361813.0;3664.5;1966.5;2612.8218056427622
0917palmer_sem8_num39;140;5492723.5;3409.0;2129.0;2644.511120461836
0919palmer_sem8_num40;140;4709234.0;3238.5;1964.0;2448.6664044609724
0921palmer_sem8_num41;140;5454814.5;3514.0;2062.0;2635.390892344301
0923palmer_sem8_num42;140;5309014.5;3490.5;2043.0;2599.931041219526
0925palmer_sem8_num43;140;5753377.5;3588.5;2172.0;2706.549057436783
0927palmer_sem8_num44;140;4986185.5;3448.5;1946.5;2519.644524966143
