ind;time;bcd;cd;dd
0745palmer_sem7_num13;125;1.06329537;-0.022818247;-1.100856202
0747palmer_sem7_num14;125;1.033701373;-0.022759031;-1.214739823
0749palmer_sem7_num15;125;1.018963105;-0.022804643;-1.173961715
0751palmer_sem7_num16;125;1.056858519;-0.02300166;-1.00210932
0753palmer_sem7_num17;125;1.020892996;-0.022708199;-1.179603391
0755palmer_sem7_num18;125;1.040496735;-0.02282554;-1.090585957
0757palmer_sem7_num19;125;1.058633963;-0.022863947;-1.101317521
0759palmer_sem7_num20;125;1.057073632;-0.022855342;-1.125164496
0761palmer_sem7_num21;125;1.064398313;-0.022722636;-1.143472599
0763palmer_sem7_num22;125;1.058292582;-0.022789541;-1.146617833
0765palmer_sem7_num23;125;1.067247495;-0.022763385;-1.202011962
0767palmer_sem7_num24;125;1.050869816;-0.022812587;-1.135069362
0769palmer_sem7_num25;125;1.057007058;-0.022943511;-1.099487888
0771palmer_sem7_num26;125;1.049904546;-0.022963606;-1.047150625
0773palmer_sem7_num27;125;1.053869164;-0.022756828;-1.162902972
0775palmer_sem7_num28;125;1.05936319;-0.022917045;-1.087253066
0777palmer_sem7_num29;125;1.055719499;-0.022872696;-1.119434709
0779palmer_sem7_num30;125;1.045883991;-0.023004738;-1.020116824
0781palmer_sem7_num31;125;1.066665943;-0.022713646;-1.138632583
0783palmer_sem7_num32;125;1.042085543;-0.022781101;-1.118729739
0785palmer_sem7_num33;125;1.043642446;-0.022953175;-1.027249879
0787palmer_sem7_num34;125;1.043638389;-0.022794362;-1.154794297
0789palmer_sem7_num35;125;1.022971974;-0.022648607;-1.180926114
0791palmer_sem7_num36;125;1.064942206;-0.022737898;-1.192005523
0793palmer_sem7_num37;125;1.020876106;-0.022753372;-1.200996925
