;mean_R_full;mean_G_full;mean_B_full;mean_H_full;mean_S_full;mean_V_full;mean_L_full;mean_a_full;mean_b_full
tommy7_IMG_0379_20170816;116.89666209419296;112.87480972213294;112.75406259153877;71.87465120375728;34.754036692761915;117.6250104376536;119.11950577542723;129.91565560967507;128.86321181448616
tommy7_IMG_0384_20170816;117.77828481331447;118.40472057675684;112.9566659879401;68.84999461930585;38.06117843676769;119.87448615487112;124.00110795413951;126.73961425557985;131.2930525303105
tommy7_IMG_0389_20170816;113.3838502930134;108.4151302663823;108.8998085165002;79.77670169476237;37.28673116355167;114.04974144759872;114.74587841060101;130.47446659682927;128.6996998309435
tommy7_IMG_0394_20170816;115.12179296115896;116.86822523719708;107.80184935128028;71.17204830970294;47.79571496922511;118.40767951201346;122.3371486585327;125.76526721732824;133.13045515314215
tommy7_IMG_0399_20170816;119.19661519731295;114.21145904778237;113.14787565282779;72.78004397656964;39.22897231420753;119.92834963839951;121.00941710783891;130.2431898496442;129.7382825337756
tommy7_IMG_0404_20170816;116.90736671730323;114.96742843676769;111.25101100117529;70.68738312060614;39.83312218015904;117.8232780215835;120.95702153795868;128.27682867691186;130.708634853145
tommy7_IMG_0409_20170816;110.02090712252087;108.32382340293852;103.71453162508574;67.6736016223351;42.554097019050786;111.35848093403492;114.3637072402263;128.061494468825;131.22018648905464
tommy7_IMG_0414_20170816;114.56670068113785;107.2521297836827;108.39509605543768;96.14327437789352;42.804903899909256;115.24757907834291;114.67822338186228;131.64834663101567;128.95408744096864
tommy7_IMG_0419_20170816;114.33748757528507;113.0366843894676;108.90869922053612;70.51105202394477;36.405298108317616;115.32192358253315;119.06855735552055;127.91840685236984;130.85478187424982
tommy7_IMG_0424_20170816;112.48969050068588;106.6080172677862;107.45455769354423;87.83413362786493;40.755076216081534;113.1850611054848;113.58376423539666;130.87681844019704;128.68658394240109
tommy7_IMG_0429_20170816;114.21458208304756;112.89302644175812;108.15335073239956;70.64908530431957;41.730265801826135;115.697557711852;118.85378767378971;127.84302500169682;131.22559470066372
tommy7_IMG_0434_20170816;110.15812660081232;109.8245390799147;105.53928760725664;75.04874613081205;39.28364334839035;111.79454729161309;115.55120606808342;127.3461069003272;130.80304649991427
tommy7_IMG_0439_20170816;119.80426720303926;115.10548432275593;113.29681103448645;72.4777362057756;38.27157468582104;120.57721301699316;122.02579060481682;129.97320525941646;130.15328632035536
tommy7_IMG_0444_20170816;114.46783210046223;111.0645206069423;109.86261134241398;71.01619734064215;35.25947325906636;115.20291468407065;117.35462877005816;129.46974927974608;129.4156112915095
tommy7_IMG_0449_20170816;106.78958823400706;103.96207325067158;101.49926953169651;70.19315810131603;41.11303526743613;107.53323644734868;109.78436711873428;128.91551757589235;130.0411043171475
tommy7_IMG_0454_20170816;111.10368329725365;106.75785927408407;106.41114241290865;74.26555746224138;39.007051388531664;111.81294440961506;112.94862464098937;129.96491145520758;129.08273833126142
tommy7_IMG_0459_20170816;109.96774301760044;111.6001681522741;103.3602579585155;68.98172964088222;46.61728355990297;113.40605313580605;116.8782838421103;125.94199165166323;132.6241087248514
tommy7_IMG_0464_20170816;107.12558361554069;104.61130987306026;102.73489844553757;68.59233840502829;37.57200066488412;107.84995426409964;110.14530318983627;128.8652620598994;129.60781264512246
tommy7_IMG_0469_20170816;115.23195592028178;111.08730483262244;108.52430739749443;67.34651664800168;39.61355056378958;115.91283214065001;117.82654121165193;129.5846281047275;130.4736584321952
tommy7_IMG_0474_20170816;117.92078624667779;110.08197978734422;108.32592008753788;72.20796807127344;43.34338747294024;118.61985200411881;118.28455834547896;131.48473713634544;130.9177278467221
tommy7_IMG_0479_20170816;110.6876038741891;109.11434187189215;105.87581497422623;69.87373196462762;40.835003246277715;112.08520764567615;114.68715265498186;128.2085179179348;130.31101349951416
tommy7_IMG_0484_20170816;110.190946602527;107.22941382137344;104.39268562725051;69.86978083829875;42.83963265264203;111.1461297180427;113.13275869305842;128.9347913451646;130.36212010289853
tommy7_IMG_0489_20170816;120.57071331706177;119.92858049473809;113.63743280830259;74.20668825865555;39.66540890149891;122.4782997274377;126.09966993571743;127.3486908056663;131.93069185903207
tommy7_IMG_0494_20170816;118.31254900673727;112.93535559243898;111.55815001018091;68.65327912004885;40.12511782827146;119.23917085065872;120.09009123960476;130.38554342555085;130.05494408766646
tommy7_IMG_0499_20170816;116.69897600478323;117.76322400477251;110.95502688560957;70.31073575745884;40.22967258587678;119.32979748049554;123.525252033054;126.38079702816002;132.03865425936644
tommy7_IMG_0504_20170816;119.96142745573988;116.55238702998186;114.53446937424982;70.1737117479531;37.31347790209191;120.69936214215036;122.73079041950659;129.34053369564828;129.92226275604068
tommy7_IMG_0509_20170816;118.31098765655365;115.94573223879743;113.1442755553948;66.76714046916081;36.28516830632716;119.17142461803768;122.04933036033236;128.64590790394948;130.25609715256346
tommy7_IMG_0514_20170816;121.88451668417066;124.93140117294668;115.53859950354723;72.01097148098138;42.76926824345565;126.14187952782065;130.53156078532237;125.11719458867384;133.112462926794
tommy7_IMG_0519_20170816;114.14232829110941;113.78725226480341;107.94638328046409;72.34336525804112;44.04177210371299;116.19095921701746;119.59040219237612;127.18940138326259;131.72528631544353
tommy7_IMG_0524_20170816;114.86462022792708;116.5608359477702;108.18305718762501;71.77145819714148;48.5279986429934;118.31487833379772;121.9573174761374;125.87394696912865;132.77157502071898
tommy7_IMG_0529_20170816;115.1432373716671;109.4140622767347;106.67673453709062;66.46865204234183;45.78711931030664;115.83376641223353;116.19722499071214;130.423454546307;130.84950204019847
tommy7_IMG_0534_20170816;115.71715008073272;112.40228692897664;107.3018508583212;64.78040103362912;47.146469472040046;116.51376235327005;118.68496677588806;128.79329399175168;131.8019178379165
tommy7_IMG_0539_20170816;117.72057017050324;119.05438888263744;111.0520042415945;71.5968036555677;42.9552970366441;120.57386744202246;124.79455901304226;126.03082507028392;132.74518472525864
tommy7_IMG_0544_20170816;114.24675188034053;113.52028845432528;109.3007230335684;72.34420864277907;40.31106853441501;115.73995557243441;119.21282476173126;127.56731281882288;130.85213216145834
tommy7_IMG_0549_20170816;110.9124596224673;105.01933438580605;104.55239618385988;77.52398796064101;43.806943540219905;111.5793129389396;111.83975388570957;130.71904409623986;129.5625363364305
